Risk Title,Risk Desc,Category,Risk Type,Risk Subtype,Severity,Likelihood,Impact,Mitigation Plan,Contingency Plan,Mitigation Status,Risk Org Impact Strategy
"QA access to client data via API in Helix and UAT","QA , if they run apis can accesss client data - this is a risk and is being disucssed to seee how to restrict access and enable QA validation of API Project-Level          Technical                       Data breach         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"Requirement for Attribute Mapping - Attribute Mapping - Client Transaction Type - yet to be groomed by Eric and Mihali","Implementation of this requirement will be delayed as requirement is yet to be finalised - JIRA 24398 Project-Level Project Management                          Planning         Major    Possible      High","Communicated to KPMG on the risk and timelien will be evaluated once requiremnt is in place",,Resolved,Client Relationship Mitigate
"Requirements Documentation","Pos who got feedback from client about not understanding, documenting correctly continue to work on Phase 2 reqs,  Project-Level Project Management                        Governance         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"Requirements not estimated for phase 2 in Program pod sheet for the following items","JIRA #  Project-Level Project Management                         Execution         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"Requirment readiness for routine","Limited visibility on rotuines readiness Project-Level Project Management                         Execution         Major    Possible      High","Melissa mentioned kPMG meeting with Esperanza for clarity",,Resolved,Client Relationship Mitigate
"Rotutine testing is deferred after DI, Dm, Process is integrated - close to sprint 40, which is very late . Any findings will be expecnsice","Old Risk Project-Level Project Management                         Execution         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"Security findings - we need to run med and firtify and find security issues + fix high, critical and medium priority issues - who will fix this , limited bandwitch to address this hence addign risk","old risk Project-Level Project Management                         Execution         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"Summer Time Off in KPMG + Jump Start Fridays- AssetMGMGTA-23823","JIRA recorded to ensure there is no impact to timeline because of timeline  Project-Level           External                          Customer         Major        Rare       Low","Need confirmation from KPMG that this has no impact",,Resolved,Client Relationship Mitigate
"Syncfusion bugs","Old Risk Project-Level Project Management                         Execution         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"Unit Testing","Old Risk, do not have the actual data Project-Level Project Management                         Execution         Major    Possible      High","This is a old risk identified for V1 which has been delivered.",,Resolved,Client Relationship Mitigate
"For PCL, server issues arising from Database Monitoring could not be transferred over to PCL ServiceNow instance and hence could not be addressed timely","Princess Cruises Lines is a brand that we support as part of global database administration support. As part of this support, we have automated monitoring of all parameters that will impact availability of databases. One of the key parameters monitored is storage, which results in an alert, if any mount / folder exceeds 80% used storage

PCL has its own ServiceNow instance as against the global service now instance (carnival corp) that we use for converting our alerts into tickets for action. Due to lack of integration between Global and PCL ServiceNow instances, in case OS mount/folder points reach above threshold, our monitoring alerts are not reaching PCL ServiceNow for OS team action.

As a result, storage alerts that need to be actioned by PCL System team will not be actioned timely leading to critical PCL database availability issues and huge impact for Business Project-Level          Technical           Connectivity and access      Moderate      Likely      High","Ensure access for PCL ServiceNow instance (as the integration between Global ServiceNow and PCL ServiceNow is not working)
Work with PCL stakeholders to ensure that alerts impact OS storage can be automatically transferred or manually transferred to their ServiceNow queue based on analysis by Database team
Work with PCL stakeholders to determine a common monitoring strategy for OS mounts/folders.

We are already in touch with PCL stakeholders to address this issue and highlighted this risk in our global weekly status calls.",Work with PCL OS team to ensure alerts coming out of monitoring are addressed manually and timely
In case any issue happens with the threshold reaching to 100%, work on a war footing to ensure the issue is addressed with minimal business disruption.,Identified,Revenue Loss,Client Relationship Mitigate
"SOW not available.","Context – SOW extension submitted as on 21stJuly 2024 post multiple discussions on conflicting requirements from Carnival Corp.

Condition – Under “Internal review” from customer side. No more scope or major changes expected. Being followed up for signature. ETA not known.

Consequence – Absence of SOW/SOW sing-off and clarity on contractual aspects might lead to contractual obligations and may lead to ambiguities w.r.t deliverables, roles and responsibilities of the resource, amount payable etc. Project-Level     Organizational                           Funding         Major    Possible      High","We got the SOW signed off. so now we are green.",Customer has signed off the SOW.,Resolved,Revenue Loss Mitigate
